Distributor,total_tickets,months_active,avg_per_month,cluster
Sai Foods Private Limited,1,1,1.0,0
Sai Maanvita Agencies,1,1,1.0,0
Sai Raju Enterprises,8,5,1.6,0
Sai Sudha Agencies,5,4,1.25,0
Samanvitha Agencies,1,1,1.0,0
Samurai Traders,1,1,1.0,0
Sankari Agencies,1,1,1.0,0
Sannidhi Agencies,1,1,1.0,0
Saphire Marketing,1,1,1.0,0
Sasnur Traders,15,6,2.5,3
Selva Kamatchi Agencies,5,4,1.25,0
Shamma Traders,1,1,1.0,0
Sharwin Traders,2,1,2.0,0
Shebin Agencies,1,1,1.0,0
Shivani Traders,2,2,1.0,0
Shree Guru Enterprises,1,1,1.0,0
Shree Sudha Distributors,1,1,1.0,0
Shree Vari Agencies,1,1,1.0,0
Shreeji Marketing,1,1,1.0,0
Shreenath Agencies,1,1,1.0,0
Shri Ekadant Enterprises,1,1,1.0,0
Shri Hanuman Agencies,15,6,2.5,3
Shri Rams Associates,2,2,1.0,0
Shri Vinayaka Agencies,22,5,4.4,3
Shri Vinayaka Agencies Vending,1,1,1.0,0
Shyam Traders,1,1,1.0,0
Silver Agencies,6,3,2.0,0
Sima Agency,19,6,3.1666666666666665,3
Skantha Agencies Private Limited,2,1,2.0,0
Smruthi Sales,6,3,2.0,0
Sneha Enterprises,7,1,7.0,0
Sony Traders,2,1,2.0,0
Southern Holdings,1,1,1.0,0
Sree Abirami Agencies,1,1,1.0,0
Sree Balaji Agencies,4,3,1.3333333333333333,0
Sree Surya Traders,1,1,1.0,0
Sri Amirtha Agency,2,2,1.0,0
Sri Annapuuranie Foods,2,1,2.0,0
Sri Hanuman Enterprises,2,2,1.0,0
Sri Hari Hara Enterprises,3,2,1.5,0
Sri Harini Visalakshi Agencies,1,1,1.0,0
Sri Jayalakshmi Traders,3,1,3.0,0
Sri Kameswara Agenices,2,2,1.0,0
Sri Lakshman Trading Corporation,5,3,1.6666666666666667,0
Sri Lakshmi Ranga Traders,1,1,1.0,0
Sri Lakshmi Srinivasa Agencies,1,1,1.0,0
Sri Lakshmi Srinivasa Distributors,4,4,1.0,0
Sri Lalithambica Traders,7,2,3.5,0
Sri Laxmi Agencies,5,3,1.6666666666666667,0
Sri Laxmi Narasimha Agencies,4,3,1.3333333333333333,0
Sri Marketing,1,1,1.0,0
Sri Maruthi Enterprises,1,1,1.0,0
Sri Murugan Agencies,4,2,2.0,0
Sri Nidhi Marketings,20,4,5.0,3
Sri Padmavathi Venkata Ramana Traders,7,4,1.75,0
Sri Parshva Pharma Distributors Private Limited,3,1,3.0,0
Sri Pavan Agencies,1,1,1.0,0
Sri Prasanna Lakshmi Agency,1,1,1.0,0
Sri Raghavendra Foods,4,3,1.3333333333333333,0
Sri Rajeswari Traders,16,4,4.0,3
Sri Ram & Company,5,1,5.0,0
Sri Ram Trading Co,4,3,1.3333333333333333,0
Sri Ramajayam Agencies,2,1,2.0,0
Sri Ramajayam Dhalls,1,1,1.0,0
Sri Sai Agencies,2,2,1.0,0
Sri Sai Marketing,4,4,1.0,0
Sri Sai Uma Generals,9,5,1.8,0
Sri Sai Vasavi Agencies,5,3,1.6666666666666667,0
Sri Sapthagiri Consumers,1,1,1.0,0
Sri Seetharam Traders,1,1,1.0,0
Sri Senthur Agencies,1,1,1.0,0
Sri Sudharshana Traders,9,6,1.5,0
Sri Swastik Agencies,3,3,1.0,0
Sri Uma Maheswara Agencies,12,6,2.0,3
Sri Venkata Sai Sharan Agencies,1,1,1.0,0
Sri Venkateshwara Distributors,2,2,1.0,0
Sri Venkateswara Marketing Services,3,3,1.0,0
Sri Vijaya Enterprises,5,4,1.25,0
Srinivasa Agency,3,2,1.5,0
Sriram Enterprises,6,5,1.2,0
Subham Agencies,3,3,1.0,0
Sun Agencies,1,1,1.0,0
Surabi Agencies,6,3,2.0,0
Surya Agencies,4,3,1.3333333333333333,0
Surya Trading Company,1,1,1.0,0
Synergy Enterprises,23,5,4.6,3
T J Enterprises,4,2,2.0,0
T.Thirumalaisamy General Merchant,1,1,1.0,0
Tadepalli Eswararao Son,6,4,1.5,0
Tadikonda Koteswara Rao &Company,6,3,2.0,0
Thangam Dhalls,1,1,1.0,0
Umakanth Enterprise,1,1,1.0,0
United Distributors,3,3,1.0,0
United Enterprises,2,1,2.0,0
V Enterprises,2,2,1.0,0
V S R Marketing Agency,16,2,8.0,3
V.G.Rajamani Agencies (P) LTD,19,6,3.1666666666666665,3
Vaaraahi Traders,1,1,1.0,0
Varthini Marketing,2,2,1.0,0
Veerappa Chetty Agencies,3,2,1.5,0
Venkata Chalapathi Enterprises,1,1,1.0,0
Venkateshwara Agencies,1,1,1.0,0
Vijay Enterprises,1,1,1.0,0
Vijaya Enterprises,1,1,1.0,0
Vijayalaxmi Agencies,6,4,1.5,0
Vijeta Enterprises,54,6,9.0,2
Vinayak Agencies,3,2,1.5,0
Vinod Agencies,19,5,3.8,3
Visalakshi Communication,2,2,1.0,0
Visalakshi Corporation,2,1,2.0,0
Winline Distributors,2,2,1.0,0
Yaswantth Enterprises,3,2,1.5,0
Yuvan Trading,3,2,1.5,0
