Ticket Number,Ticket_Date,Branch,ASM_Name,DC,Distributor_Code,Distributor_Name,Module_Name,Current_Status,CD_Type,Transporter,Ticket_Year,Ticket_Month,Unnamed: 13,Invoice_No_Extracted,Product_Code_Extracted,Batch_Code_Extracted,SKU_Name_Extracted,MRP_Extracted,Description,Closed_By,Closed_Date,Source_Status,Ticket_Year_Month,Ticket_Quarter,Ticket_Count,Open_Closed_Group,Issue_Category,Responsible_Area,Issue_Tags,Remarks_Updated,LR_No,Vehicle_No_Extracted,Quantity_Extracted,Order_ID_Extracted,Driver_Name_Extracted,Phone_No_Extracted,HSN_Code_Extracted,Reason_Extracted,DC_Issue_Status,DC_Code,ASM,Ticket_Number,Distributor_Code_Text,Distributor,Module,Invoice_Number,Batch_Code,SKU_Name,ASM_Zone,Product_Code_Count,Product_Code_Validation,Brand,CAT,BU,Brand_Mapping_Status,OTR_Month,OTR_Day,OTR_Week,Missing_Invoice_Flag,Missing_Product_Code_Flag,Missing_Batch_Flag,Missing_Brand_Mapping_Flag,Duplicate_Flag,Date_Validation_Status,Date_Difference_Days,Source_File,Source_Sheet
7402251-20260203-182557,2026-02-03,South Branch,L5 IN Bangalore City 2,B929,7402251,Intelligent Retail Private Limited,BI-Stock Shortages,Closed,GT Distributors,Diptab Ventures Pvt ltd,2026,Feb,,938404320,,,,30,INV No 938404320 12609894 NESCAFE Allin1 FRAPP Sac MRP 30 2CS Shortage,INPRAKASMA1,2026-09-03 17:03:57,Closed,2026-02,Q1,1,Closed,,,,,,,2 CS,,,,,,Not a DC Issue,B929,L5 IN Bangalore City 2,7402251-20260203-182557,7402251,Intelligent Retail Private Limited,BI-Stock Shortages,938404320,,,Not Available,0,Missing,Not Available,Not Available,Not Available,Not Available,2026-02,Tuesday,6,False,True,True,True,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
7039866-20260202-130234,2026-02-02,South Branch,L5 IN Tamil Nadu 4,B929,7039866,Intelligent Retail Private Limited,BI-Stock Shortages,Closed,GT Distributors,KKP Express,2026,Feb,,,12359021,,SUNRISE EXTRA Sachet 12(5x200g) PR MB IN,,"Dear Team, Purchase Order No :938403776 Product Name      :SUNRISE EXTRA Sachet 12(5x200g) PR MB IN Product Code      :12359021 BI-Shortage Qty   :480 biscuits Free Qty Not Recived",INPRAKASMA1,2026-02-26 13:57:52,Closed,2026-02,Q1,1,Closed,,,,,,,480,938403776,,,,,DC Issue,B929,L5 IN Tamil Nadu 4,7039866-20260202-130234,7039866,Intelligent Retail Private Limited,BI-Stock Shortages,,,SUNRISE EXTRA Sachet 12(5x200g) PR MB IN,Not Available,1,Valid 8 Digit Code,IN C&B : Sunrise Extra - FS,NP,NP,Exact Product Code Match,2026-02,Monday,6,True,False,True,False,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
7366995-20260202-141124,2026-02-02,South Branch,L5 IN Hyderabad 2,2032,7366995,Intelligent Retail Private Limited,BI-Stock Shortages,Closed,GT Distributors,Glovis India Private Limited,2026,Feb,,1099822425,12595302,52760455HA,,,INV  NUMBER 1099822425 inv DATE-09-11-2025 PRODUCT CODE-12595302 BATCH CODE-52760455HA 169/- MRP MAGGI SAUCE NONG 12*970g  1 case Short Transport details -GLOVIS Transport LR NO- TS 12 UC 0209 Driver Name- ANIL CONTACT-8858729348,INPRAKASMA1,2026-02-13 00:55:56,Closed,2026-02,Q1,1,Closed,,,,,TS 12 UC 0209,TS12UC0209,1 CASE,,,8858729348.0,,,DC Issue,2032,L5 IN Hyderabad 2,7366995-20260202-141124,7366995,Intelligent Retail Private Limited,BI-Stock Shortages,1099822425,52760455HA,,Not Available,1,Valid 8 Digit Code,IN CUL : Sauces,CULINARY,F&B,Exact Product Code Match,2026-02,Monday,6,False,False,False,False,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
7366995-20260202-141740,2026-02-02,South Branch,L5 IN Hyderabad 2,2032,7366995,Intelligent Retail Private Limited,BI-Stock Shortages,Closed,GT Distributors,Glovis India Private Limited,2026,Feb,,1099822425,12569170,52860453J2,,,INV NUMBER 1099822425 INV Date -09-11-2025 product code-12569170 batch code-52860453J2 600/-MRP NAN LO-LAC IF BIB 24*400g one case shortage .. Transport Details LR NO-TS 12 UC 0269 DRIVER NAME-ANIL CONTACT-8858729348,INPRAKASMA1,2026-02-13 00:55:56,Closed,2026-02,Q1,1,Closed,,,,,TS 12 UC 0269,TS12UC0269,,,,8858729348.0,,,Not a DC Issue,2032,L5 IN Hyderabad 2,7366995-20260202-141740,7366995,Intelligent Retail Private Limited,BI-Stock Shortages,1099822425,52860453J2,,Not Available,1,Valid 8 Digit Code,IN NSB : NAN Lo-Lac,INFANT NUTRITION,NN,Exact Product Code Match,2026-02,Monday,6,False,False,False,False,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
7366995-20260202-142238,2026-02-02,South Branch,L5 IN Hyderabad 2,2032,7366995,Intelligent Retail Private Limited,BI-Stock Shortages,Closed,GT Distributors,Glovis India Private Limited,2026,Feb,,1099822420,12608321,52690453A7,,,INV NUMBER -1099822420 INV DATE-09-01-2025 PRODUCT CODE-12608321 BATCH CODE-52690453A7 290/-CERELAC STG2 Whe App Chry 24*350g  3cases shortage Transport Details-GLOVIS LR NO-TS 12 UC 0209 DRIVER NAME-ANIL CONTACT-8858729348,INPRAKASMA1,2026-02-13 00:55:56,Closed,2026-02,Q1,1,Closed,,,,,TS 12 UC 0209,TS12UC0209,3 CASES,,,8858729348.0,,,Not a DC Issue,2032,L5 IN Hyderabad 2,7366995-20260202-142238,7366995,Intelligent Retail Private Limited,BI-Stock Shortages,1099822420,52690453A7,,Not Available,1,Valid 8 Digit Code,IN NSB : Cerelac 2,INFANT NUTRITION,NN,Exact Product Code Match,2026-02,Monday,6,False,False,False,False,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
7366995-20260202-142639,2026-02-02,South Branch,L5 IN Hyderabad 2,2032,7366995,Intelligent Retail Private Limited,BI-Stock Shortages,Closed,GT Distributors,Glovis India Private Limited,2026,Feb,,1099822420,12608321,52690453A7,,,INV NUMBER-1099822420 INV DATE-09-11-2025 PRODUCT CODE-12608321 BATCH CODE-52690453A7 290/-MRP CERELAC STG2 Whe App Chry 24*350g WS IN     2 CASES SHORTAGE Transport Details-GLOVIS LR NUMBER-TS 12 UC 0209 DRIVER NAME-ANIL CONTACT-8858729348,INPRAKASMA1,2026-02-13 00:55:56,Closed,2026-02,Q1,1,Closed,,,,,TS 12 UC 0209,TS12UC0209,2 CASES,,,8858729348.0,,,Not a DC Issue,2032,L5 IN Hyderabad 2,7366995-20260202-142639,7366995,Intelligent Retail Private Limited,BI-Stock Shortages,1099822420,52690453A7,,Not Available,1,Valid 8 Digit Code,IN NSB : Cerelac 2,INFANT NUTRITION,NN,Exact Product Code Match,2026-02,Monday,6,False,False,False,False,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
7366995-20260202-152625,2026-02-02,South Branch,L5 IN Hyderabad 2,2032,7366995,Intelligent Retail Private Limited,BI-Stock Shortages,Closed,GT Distributors,Glovis India Private Limited,2026,Feb,,1099820872,12606043,52320451FB,,,INV NUMBER-1099820872 INV DATE-28-10-2025 PRODUCT CODE-12606043 BATCH CODE-52320451FB 80/-MAGGI & SWEET 24*200g N2   1 case shortage Transport Details-GLOVIS LR NO -TS12U0209,INPRAKASMA1,2026-02-13 00:55:56,Closed,2026-02,Q1,1,Closed,,,,,TS12U0209,TS12U0209,1 CASE,,,,,,Not a DC Issue,2032,L5 IN Hyderabad 2,7366995-20260202-152625,7366995,Intelligent Retail Private Limited,BI-Stock Shortages,1099820872,52320451FB,,Not Available,1,Valid 8 Digit Code,IN CUL : Sauces,CULINARY,F&B,Exact Product Code Match,2026-02,Monday,6,False,False,False,False,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
7402251-20260130-165910,2026-01-30,South Branch,L5 IN Bangalore City 2,B929,7402251,Intelligent Retail Private Limited,BI-Stock Shortages,Closed,GT Distributors,Diptab Ventures Pvt ltd,2026,Jan,,938402418,,,,450; 80,"We have received ""12585176"" - 'LACTOGEN PRO 3 BIB 24x400g INJE087 IN', MRP-450, 1 cases shortage for Invoice# 938402418 dated 25/01/2026 We have received ""12595279"" - 'MAGGI Sauce NONG 24x190g N1 IN', MRP-80, 1 cases shortage for Invoice# 938402418 dated 25/01/2026",INPRAKASMA1,2026-02-26 13:57:52,Closed,2026-01,Q1,1,Closed,,,,,,,1 CASES,,,,,,DC Issue,B929,L5 IN Bangalore City 2,7402251-20260130-165910,7402251,Intelligent Retail Private Limited,BI-Stock Shortages,938402418,,,Not Available,0,Missing,Not Available,Not Available,Not Available,Not Available,2026-01,Friday,5,False,True,True,True,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
7402251-20260127-170011,2026-01-27,South Branch,L5 IN Bangalore City 2,B929,7402251,Intelligent Retail Private Limited,BI-Any other,Closed,GT Distributors,Diptab Ventures Pvt ltd,2026,Jan,,938402418,,,,450; 80,"We have received ""12585176"" - 'LACTOGEN PRO 3 BIB 24x400g INJE087 IN', MRP-450, 1 cases shortage for Invoice# 938402418 dated 25/01/2026 We have received ""12595279"" - 'MAGGI Sauce NONG 24x190g N1 IN', MRP-80, 1 cases shortage for Invoice# 938402418 dated 25/01/2026",INPRAKASMA1,2026-02-26 13:57:52,Closed,2026-01,Q1,1,Closed,,,,,,,1 CASES,,,,,,DC Issue,B929,L5 IN Bangalore City 2,7402251-20260127-170011,7402251,Intelligent Retail Private Limited,BI-Any other,938402418,,,Not Available,0,Missing,Not Available,Not Available,Not Available,Not Available,2026-01,Tuesday,5,False,True,True,True,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
7402251-20260127-171851,2026-01-27,South Branch,L5 IN Bangalore City 2,B929,7402251,Intelligent Retail Private Limited,BI-Stock Shortages,Closed,GT Distributors,Diptab Ventures Pvt ltd,2026,Jan,,938402418,,,,450; 80,"We have received ""12585176"" - 'LACTOGEN PRO 3 BIB 24x400g INJE087 IN', MRP-450 ,1 cases shortage for Invoice# 938402418 dated 25/01/2026 We have received ""12595279"" - 'MAGGI Sauce NONG 24x190g N1 IN', MRP-80 ,1 cases shortage for Invoice# 938402418 dated 25/01/2026",INPRAKASMA1,2026-02-26 13:57:52,Closed,2026-01,Q1,1,Closed,,,,,,,1 CASES,,,,,,DC Issue,B929,L5 IN Bangalore City 2,7402251-20260127-171851,7402251,Intelligent Retail Private Limited,BI-Stock Shortages,938402418,,,Not Available,0,Missing,Not Available,Not Available,Not Available,Not Available,2026-01,Tuesday,5,False,True,True,True,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
