Ticket Number,Ticket_Date,Invoice_Number,Product_Code_Extracted,Batch_Code,Distributor_Code,Distributor_Name,DC,Current_Status,VTA_VTR_Match_Status,Reconciliation_Remarks
6824058-20260630-131544,2026-06-30,938435919,,61610455HB; 61030455HA,6824058,Aarav Associates,B929,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260603-155215,2026-06-03,938431710,,5353417611,6824058,Aarav Associates,B929,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260530-113030,2026-05-30,938430868,,61080452CF,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260528-130103,2026-05-28,938430131,,60520376NM,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260512-124517,2026-05-12,938426897,,61030452CF,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260512-125430,2026-05-12,938426899,,60900455HA,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260508-140201,2026-05-08,938426273,,61110451DA,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260428-124743,2026-04-28,938423924,,6047T246DA,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260420-121358,2026-04-20,938421259,,60730455TA,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260410-135740,2026-04-10,938419735,,60060453A2,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260410-135943,2026-04-10,938419735,,60090453A7,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260404-114351,2026-04-04,938418663,,60080454N1,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260327-175401,2026-03-27,938417740,,523703764T,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260206-155104,2026-02-06,938405081,,53210376DA,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6824058-20260110-123234,2026-01-10,938396789,,53290454B1,6824058,Aarav Associates,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7023429-20260302-100313,2026-03-02,959163469,12602710,,7023429,Abdhu Traders,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7023429-20260213-115522,2026-02-13,959160273,12567446,,7023429,Abdhu Traders,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6903453-20260430-123404,2026-04-30,974818278,,,6903453,Adithya Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6903453-20260430-123632,2026-04-30,974821985,,,6903453,Adithya Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6903453-20260427-124433,2026-04-27,974822697,,60800453A7,6903453,Adithya Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
5584508-20260223-174234,2026-02-23,974807805,,,5584508,Akshaya Agencies,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
5584508-20260223-174643,2026-02-23,974812373,12559238,,5584508,Akshaya Agencies,C749,Reopened,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600977-20260505-122925,2026-05-05,959161300; 959163431,12610509; 12616536,,600977,Alankar Stores,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600980-20260508-225758,2026-05-08,,,,600980,Allied Trading Enterprises,7793,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600983-20260622-144417,2026-06-22,1365806682,14515244,61410453J2; 61550453J2,600983,Ambooken Agencies,C963,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600983-20260618-160722,2026-06-18,1365806395,12616966,52990453M1,600983,Ambooken Agencies,C963,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600983-20260612-161346,2026-06-12,1365806126,10584810,,600983,Ambooken Agencies,C963,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600983-20260508-155830,2026-05-08,1365804096,12623078,,600983,Ambooken Agencies,C963,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600983-20260508-160255,2026-05-08,1365804098,12518425,,600983,Ambooken Agencies,C963,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600983-20260325-132847,2026-03-25,959169464,13679901,,600983,Ambooken Agencies,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600983-20260325-133325,2026-03-25,959169464,13680087,,600983,Ambooken Agencies,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600983-20260325-133850,2026-03-25,959169464,10584810,,600983,Ambooken Agencies,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
5531976-20260318-165642,2026-03-18,959165627; 959167670,,,5531976,Ambooken Agencies,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600983-20260313-164308,2026-03-13,959166719,12585176,difference; 60430453J1; Received,600983,Ambooken Agencies,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600983-20260313-164816,2026-03-13,959166723,12616560,,600983,Ambooken Agencies,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
5531976-20260303-154710,2026-03-03,959163801,12559592,60152814,5531976,Ambooken Agencies,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260623-153909,2026-06-23,1099856321,,,600985,Amrutha Enterprises,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260611-151319,2026-06-11,1099854716,13970092,,600985,Amrutha Enterprises,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260611-152949,2026-06-11,1099854236,12499422,,600985,Amrutha Enterprises,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260605-171842,2026-06-05,1099852220,12230487,,600985,Amrutha Enterprises,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260509-175635,2026-05-09,1099847448,,,600985,Amrutha Enterprises,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260509-180126,2026-05-09,1099849001,,,600985,Amrutha Enterprises,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260424-132434,2026-04-24,1099847193,,,600985,Amrutha Enterprises,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260418-142943,2026-04-18,1099846026,,,600985,Amrutha Enterprises,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260407-175952,2026-04-07,1099842107,12601761,,600985,Amrutha Enterprises,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260407-180408,2026-04-07,1099844069,12610392,,600985,Amrutha Enterprises,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260312-164131,2026-03-12,1099838952,13632235,,600985,Amrutha Enterprises,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260312-164613,2026-03-12,1099839673,12595301,,600985,Amrutha Enterprises,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260207-135418,2026-02-07,1099834619,13680299,,600985,Amrutha Enterprises,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260130-164353,2026-01-30,1099833367,,,600985,Amrutha Enterprises,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260130-164828,2026-01-30,1099833367,12518426,,600985,Amrutha Enterprises,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260123-141004,2026-01-23,1099828709,12616966,,600985,Amrutha Enterprises,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260123-141635,2026-01-23,1099829151,12609877,,600985,Amrutha Enterprises,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600985-20260123-142139,2026-01-23,1099830664; 1099830666,,,600985,Amrutha Enterprises,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
3997672-20260111-174711,2026-01-11,,,,3997672,Anand Agencies,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7566721-20260630-182134,2026-06-30,,,,7566721,Annai Agencies,B744,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600991-20260618-103006,2026-06-18,959185764,,61620454P1,600991,Annapoorni Agencies,B744,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600991-20260403-103530,2026-04-03,959171470,,60730451YA,600991,Annapoorni Agencies,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600991-20260203-104125,2026-02-03,959157441; 959157447,,60130454F1; 60192814AA,600991,Annapoorni Agencies,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
600991-20260126-115228,2026-01-26,959156050,,53600452DA,600991,Annapoorni Agencies,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7542191-20260609-135040,2026-06-09,,,,7542191,Apoorva Traders,B929,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7313829-20260618-155617,2026-06-18,,,Mentioned; received,7313829,Aspire Business Hub,7793,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7313829-20260521-181253,2026-05-21,1365364296,13680087,61330452CA,7313829,Aspire Business Hub,7793,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7313829-20260411-163054,2026-04-11,,,,7313829,Aspire Business Hub,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7313829-20260411-163616,2026-04-11,,,,7313829,Aspire Business Hub,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7313829-20260115-130151,2026-01-15,1365352559,19023010,,7313829,Aspire Business Hub,7793,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260624-163128,2026-06-24,974829803,12608497,61650455TB,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260624-163346,2026-06-24,974829758,12595279,60750455HA,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260624-163546,2026-06-24,974830352,12448239,60031530KA,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260624-163742,2026-06-24,974830355,12595279,60750455HA; 61060455HA,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260611-111751,2026-06-11,974828570,12458968,51833657; 51423657,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260610-104548,2026-06-10,974828289,12629234; 12622716,60851519KA; 61160454X1,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260610-104601,2026-06-10,974828282,12608551; 12606043,61300455LA; 61420455HA,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260608-124723,2026-06-08,938431295,12608497,61369939AA,601004,Aswin Enterprises,B929,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260608-124759,2026-06-08,974827965,14507209,611204515A,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260608-124832,2026-06-08,974828132,,61019939LA,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260528-103940,2026-05-28,974826589,12603833; 12606043,52180455HA; 60450451FB,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260518-103126,2026-05-18,974825370,13679901,60920452BA,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260518-103151,2026-05-18,974825370,12630048,60870451AA,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260515-160719,2026-05-15,974823448,12612451,61020454C1,601004,Aswin Enterprises,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260430-150206,2026-04-30,974821460,14445547,60680452BA,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260430-150304,2026-04-30,974821521,14199857,61010454N1,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260408-113050,2026-04-08,974819213,13680372; 12559595,60779939BA; 60672814PA,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260408-113146,2026-04-08,974819214,12559252,60462814BB,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260311-102429,2026-03-11,974814806,,60410452BB,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260311-102511,2026-03-11,974815914,12623878,60390454X1,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260224-110003,2026-02-24,974813467,12608496; 13680087,60142814TA; 60380452CF,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260218-111714,2026-02-18,974807836,12606197,60060452DA,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260218-111836,2026-02-18,974810018,12567446,53570453T1,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260218-111934,2026-02-18,974809366,12616251,60070455EA,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260218-112030,2026-02-18,974812216,13679901,60410452BB,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260218-112124,2026-02-18,974812221,13679901,60440452BA,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260130-113534,2026-01-30,974808556,12602710,60060452DB,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260130-113750,2026-01-30,974808981,12516486; 12584920; 12608543,60031530KB; 52760451ZA; 53109939EA,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260130-113849,2026-01-30,974808981,12617902; 12553664,52560454X2; 52510454X2,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260121-160642,2026-01-21,974807420,12630272,52220455KC,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260120-131042,2026-01-20,974806940,13680206,60030452CB,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260120-131137,2026-01-20,974805803,12620326,5340417615,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260120-131218,2026-01-20,974806966,12610093,52467742AB,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601004-20260108-134554,2026-01-08,974805740,12607462; 12595301,53550452CA; 53400455HA,601004,Aswin Enterprises,C749,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7453826-20260622-132201,2026-06-22,1365366766,12602710,60630452DA,7453826,Aswini Medicines,C963,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7453826-20260416-152351,2026-04-16,,,,7453826,Aswini Medicines,C963,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6224559-20260608-181318,2026-06-08,,,,6224559,ATLAS DISTRIBUTORS PRIVATE LIMITED,B929,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601014-20260525-192337,2026-05-25,1099849186,19023010,,601014,B Yemmaji Rao Sons,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601014-20260512-124059,2026-05-12,1099849758,13776709,,601014,B Yemmaji Rao Sons,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601014-20260415-171515,2026-04-15,1099845721,12610048,,601014,B Yemmaji Rao Sons,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601014-20260415-171830,2026-04-15,1099845888,19011090,,601014,B Yemmaji Rao Sons,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
601014-20260129-130343,2026-01-29,1099833034,12609877,,601014,B Yemmaji Rao Sons,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6441951-20260620-164409,2026-06-20,,,,6441951,Bagi Trading Company,B929,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6441951-20260508-184949,2026-05-08,,,,6441951,Bagi Trading Company,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6441951-20260331-163702,2026-03-31,,,,6441951,Bagi Trading Company,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6441951-20260331-193005,2026-03-31,,,,6441951,Bagi Trading Company,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6441951-20260328-180739,2026-03-28,,,,6441951,Bagi Trading Company,B929,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260624-162305,2026-06-24,1099856595,12516484,,4766881,Balaji Agencies,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260619-104442,2026-06-19,1099856009,14378778,,4766881,Balaji Agencies,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260617-134104,2026-06-17,1099855578,12608635,,4766881,Balaji Agencies,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260617-134608,2026-06-17,1366100471,12608635,,4766881,Balaji Agencies,D915,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260604-175832,2026-06-04,1099853788,12584920,,4766881,Balaji Agencies,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260602-160959,2026-06-02,1099853595,12607949,,4766881,Balaji Agencies,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260515-165915,2026-05-15,974824844,,,4766881,Balaji Agencies,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260505-132128,2026-05-05,1099849045,13700494,,4766881,Balaji Agencies,2032,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260502-110041,2026-05-02,1099848322,,,4766881,Balaji Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260501-195540,2026-05-01,1099848784,,,4766881,Balaji Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260428-124850,2026-04-28,1099848151,,,4766881,Balaji Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260423-155354,2026-04-23,1099847480,,,4766881,Balaji Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260421-154908,2026-04-21,1099846905,12599497,,4766881,Balaji Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260325-185734,2026-03-25,1099842407,12601933,,4766881,Balaji Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260318-130630,2026-03-18,1099841181,13680206,,4766881,Balaji Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260225-104457,2026-02-25,1099837378,13797726,,4766881,Balaji Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260212-134300,2026-02-12,,12629157,,4766881,Balaji Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260128-163822,2026-01-28,1099832886,,,4766881,Balaji Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260115-155323,2026-01-15,1099831230,13680206,,4766881,Balaji Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
4766881-20260105-113635,2026-01-05,1099829004,12426635,,4766881,Balaji Agencies,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7043746-20260528-145031,2026-05-28,,,,7043746,Best & Co,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7043746-20260528-145213,2026-05-28,,,,7043746,Best & Co,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7043746-20260220-161421,2026-02-20,959158932,12595279,60060455HB,7043746,Best & Co,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
